match_id,date,city,venue,team1,team2,toss_winner,toss_decision,winner,result_type,player_of_match,season,event_name,match_type,gender,overs,balls_per_over,team1_won,toss_winner_won
1082591,2017-04-05,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,"['by', 'winner']",Yuvraj Singh,2017,Indian Premier League,T20,male,20,6,1,0
1082592,2017-04-06,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,"['by', 'winner']",SPD Smith,2017,Indian Premier League,T20,male,20,6,1,1
1082593,2017-04-07,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,"['winner', 'by']",CA Lynn,2017,Indian Premier League,T20,male,20,6,0,1
1082594,2017-04-08,Indore,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Kings XI Punjab,"['by', 'winner']",GJ Maxwell,2017,Indian Premier League,T20,male,20,6,1,1
1082595,2017-04-08,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,"['winner', 'by']",KM Jadhav,2017,Indian Premier League,T20,male,20,6,1,1
1082596,2017-04-09,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,"['by', 'winner']",Rashid Khan,2017,Indian Premier League,T20,male,20,6,1,1
1082597,2017-04-09,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,"['by', 'winner']",N Rana,2017,Indian Premier League,T20,male,20,6,1,1
1082598,2017-04-10,Indore,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,"['by', 'winner']",AR Patel,2017,Indian Premier League,T20,male,20,6,1,0
1082599,2017-04-11,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,Delhi Daredevils,"['by', 'winner']",SV Samson,2017,Indian Premier League,T20,male,20,6,0,0
1082600,2017-04-12,Mumbai,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,"['by', 'winner']",JJ Bumrah,2017,Indian Premier League,T20,male,20,6,1,1
1082601,2017-04-13,Kolkata,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,"['by', 'winner']",SP Narine,2017,Indian Premier League,T20,male,20,6,1,1
1082602,2017-04-14,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,"['by', 'winner']",KA Pollard,2017,Indian Premier League,T20,male,20,6,0,1
1082603,2017-04-14,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,"['by', 'winner']",AJ Tye,2017,Indian Premier League,T20,male,20,6,1,1
1082604,2017-04-15,Kolkata,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,"['by', 'winner']",RV Uthappa,2017,Indian Premier League,T20,male,20,6,1,0
1082605,2017-04-15,Delhi,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,"['by', 'winner']",CJ Anderson,2017,Indian Premier League,T20,male,20,6,1,1
1082606,2017-04-16,Mumbai,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,"['by', 'winner']",N Rana,2017,Indian Premier League,T20,male,20,6,1,1
1082607,2017-04-16,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,Rising Pune Supergiant,"['by', 'winner']",BA Stokes,2017,Indian Premier League,T20,male,20,6,0,0
1082608,2017-04-17,Delhi,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,"['by', 'winner']",NM Coulter-Nile,2017,Indian Premier League,T20,male,20,6,0,0
1082609,2017-04-17,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,"['by', 'winner']",B Kumar,2017,Indian Premier League,T20,male,20,6,1,0
1082610,2017-04-18,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,Royal Challengers Bangalore,"['by', 'winner']",CH Gayle,2017,Indian Premier League,T20,male,20,6,0,0
1082611,2017-04-19,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,"['by', 'winner']",KS Williamson,2017,Indian Premier League,T20,male,20,6,1,1
1082612,2017-04-20,Indore,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,"['by', 'winner']",JC Buttler,2017,Indian Premier League,T20,male,20,6,0,1
1082613,2017-04-21,Kolkata,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,"['by', 'winner']",SK Raina,2017,Indian Premier League,T20,male,20,6,0,1
1082614,2017-04-22,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,"['by', 'winner']",MJ McClenaghan,2017,Indian Premier League,T20,male,20,6,1,0
1082615,2017-04-22,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,Rising Pune Supergiant,"['by', 'winner']",MS Dhoni,2017,Indian Premier League,T20,male,20,6,1,1
1082616,2017-04-23,Rajkot,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Kings XI Punjab,"['by', 'winner']",HM Amla,2017,Indian Premier League,T20,male,20,6,0,0
1082617,2017-04-23,Kolkata,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,"['by', 'winner']",NM Coulter-Nile,2017,Indian Premier League,T20,male,20,6,1,0
1082618,2017-04-24,Mumbai,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,"['by', 'winner']",BA Stokes,2017,Indian Premier League,T20,male,20,6,0,0
1082620,2017-04-26,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,"['by', 'winner']",RV Uthappa,2017,Indian Premier League,T20,male,20,6,0,1
1082621,2017-04-27,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,"['by', 'winner']",AJ Tye,2017,Indian Premier League,T20,male,20,6,0,1
1082622,2017-04-28,Kolkata,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,Kolkata Knight Riders,"['by', 'winner']",G Gambhir,2017,Indian Premier League,T20,male,20,6,1,1
1082623,2017-04-28,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Sunrisers Hyderabad,"['by', 'winner']",Rashid Khan,2017,Indian Premier League,T20,male,20,6,0,0
1082624,2017-04-29,Pune,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,"['by', 'winner']",LH Ferguson,2017,Indian Premier League,T20,male,20,6,1,0
